Question,Answer
"什么是物质的组成？","物质由元素组成，基本形态包括单质和化合物。微观上物质由分子、原子、离子等微粒构成。"
"化学反应条件控制的目的是什么？","通常为了加快反应速率（提高生产效率），或使平衡向着产物方向移动（提高平衡转化率、降低成本）。"
"杂化轨道理论中的三种常见杂化类型及其空间构型是什么？","sp杂化为直线形（如C₂H₂），sp²杂化为平面三角形（如C₂H₄），sp³杂化为四面体形或由此演变的三角锥、V形（如CH₄、NH₃、H₂O）。"
"什么是同素异形体？请举例。","由同一种元素组成的性质不同的几种单质。例如：碳的金刚石、石墨、富勒烯（C₆₀）；氧的O₂和O₃；磷的红磷和白磷。"
"同系物和同分异构体的定义分别是什么？","同系物：结构相似，在分子组成上相差一个或若干个CH₂原子团的物质。同分异构体：分子式相同但结构不同的物质。"
"什么是手性异构体？","互为镜像但不能重合的立体异构体，也称对映异构体。"
"物质的分类主要包括哪些？","分为纯净物和混合物。纯净物中分为单质和化合物。化合物继续分为无机物（酸、碱、盐、氧化物等）和有机物。"
"什么是反应热？","化学反应在等温条件下进行时，吸收或放出的热量。"
"什么是手性分子？","具有手性异构体的分子，即分子内部找不到对称面，不能与其镜像重合的分子（通常含有手性碳原子）。"
"什么是分散系？","一种（或多种）物质分散在另一种（或多种）物质中得到的体系。分为分散质和分散剂。"
"什么是焓变（ΔH）？","在恒压条件下的反应热，ΔH < 0 为放热反应，ΔH > 0 为吸热反应。"
"什么是晶胞？","描述晶体微观结构的基本重复单元。常见为平行六面体。"
"胶体的本质特征是什么？如何鉴别？","本质特征是分散质微粒直径在1~100 nm之间。利用胶体的丁达尔效应进行鉴别（光束通过时出现一条光亮的通路）。"
"热化学方程式书写需要注意什么？","注明各物质的状态（s, l, g, aq）；注明反应温度和压强（常温常压可省略）；写出对应的反应热ΔH（包含正负号和单位kJ/mol）。"
"什么是配位键？","一种特殊的共价键，共用电子对由一方原子单独提供，另一方提供空轨道。"
"电解质和非电解质的概念是什么？","电解质是在水溶液中或熔融状态下能导电的化合物；非电解质是在水溶液中和熔融状态下都不导电的化合物。"
"什么是燃烧热？","25℃、101kPa下，1 mol 纯物质完全燃烧生成稳定的化合物（如C生成CO₂气体，H生成液态水）时放出的热量。"
"配位化合物（配合物）由哪些部分组成？","主要由中心原子（或离子，通常是过渡金属）和配体（如H₂O、NH₃、CN⁻等）通过配位键结合而成。"
"什么是电离？","电解质溶于水或受热熔化时，离解成能自由移动的离子的过程。"
"什么是盖斯定律？","一个化学反应的反应热，只与反应体系的始态和终态有关，而与反应的途径无关。"
"什么是超分子？","由两种或两种以上分子依靠分子间相互作用结合在一起的高分子，特征为分子识别和自组装。"
"电离方程式书写的原则是什么？","强电解质用等号（=），弱电解质用可逆符号（⇌）；多元弱酸分步电离，多元弱碱一步写出。"
"有效碰撞、活化分子与活化能的概念？","能引发化学反应的碰撞叫有效碰撞；具有较高能量、能发生有效碰撞的分子叫活化分子；活化分子平均能量与体系所有分子平均能量之差叫活化能。"
"苯的同系物的结构特点和代表物质是什么？","含有且只含有一个苯环，侧链全为烷基，通式为 CnH2n-6 (n≥7)。代表物质：甲苯。"
"酸、碱、盐的本质分别是什么？","酸：电离出的阳离子全部是H⁺的化合物；碱：电离出的阴离子全部是OH⁻的化合物；盐：电离出金属阳离子（或NH₄⁺）和酸根阴离子的化合物。"
"外界条件如何影响化学反应速率？","浓度增大、压强增大（对气体）、温度升高、使用正催化剂，都会增大反应速率。"
"卤代烃的主要化学性质有哪些？","水解反应（NaOH水溶液加热产生醇），消去反应（NaOH醇溶液加热产生烯烃）。"
"什么是离子反应？","电解质在水溶液中发生的复分解反应、氧化还原反应等，本质是溶液中某些离子浓度的改变。"
"化学平衡常数（K）与什么有关？","只与温度有关。K值越大，反应进行得越完全，平衡转化率通常越高。"
"醇的官能团和主要化学性质是什么？","官能团是羟基（-OH）。性质：与钠反应产生H₂，被催化氧化为醛或酮，浓硫酸加热发生消去反应生成烯烃或取代反应生成醚。"
"离子方程式拆写规则？","强酸、强碱、可溶性盐拆分为离子形式；弱电解质、难溶物、气体、单质、氧化物保留化学式。"
"什么是化学平衡的移动？","可逆反应达到平衡后，由于外界条件的改变，使原平衡被破坏并建立新平衡的过程。"
"醛的官能团和特性特征反应是什么？","官能团是醛基（-CHO）。特征反应：发生银镜反应、新制Cu(OH)₂碱性悬浊液反应生成砖红色沉淀；可被还原为醇。"
"氧化还原反应的本质及特征？","本质：电子的转移（得失或偏移）。特征：反应前后有元素化合价的升降。"
"勒夏特列原理（平衡移动原理）的具体表述？","如果改变影响平衡的一个条件（如浓度、压强或温度等），平衡就向能够减弱这种改变的方向移动。"
"羧酸的官能团和化学性质是什么？","官能团是羧基（-COOH）。性质：显弱酸性（能与碳酸氢钠反应放出CO₂），能与醇在浓硫酸作用下发生酯化反应。"
"氧化剂和还原剂分别发生什么反应？","氧化剂得电子（化合价降低），发生还原反应；还原剂失电子（化合价升高），发生氧化反应。"
"什么是自发过程与自发反应？","在给定条件下不需要施加外界能量即可自动进行的过程/反应。"
"什么是酰胺？","羧酸分子中的羟基被氨基或烃氨基取代后生成的化合物，含有酰胺键（肽键，-CONH-）。"
"氧化性与还原性的判断？","易失电子还原性强；易得电子氧化性强。氧化剂的氧化性强于氧化产物，还原剂的还原性强于还原产物。"
"焓判据和熵判据的概念是什么？","焓判据：体系趋于降低能量，即 ΔH < 0 有利于自发。熵判据：体系趋于混乱度增加，即 ΔS > 0 有利于自发。"
"有机高分子的分类及合成反应主要有哪两种？","天然高分子与合成高分子。主要的聚合反应包括：加聚反应和缩聚反应。"
"如何区分氧化产物和还原产物？","还原剂失电子后生成的物质为氧化产物；氧化剂得电子后生成的物质为还原产物。"
"什么是复合判据（吉布斯自由能变）？","ΔG = ΔH - TΔS。当 ΔG < 0 时反应自发进行；ΔG > 0 时逆反应自发进行。"
"什么是物质的量（n）及其单位？","表示含有一定数目粒子的集合体。符号是 n，国际单位是摩尔（mol）。"
"物质的转化基本思路是什么？","酸碱反应通常无价态变化（复分解）；氧化还原规律需注意电子守恒、得失电子能力以及同种元素化合价靠拢不交叉等原则。"
"什么是阿伏加德罗常数（NA）？","1 mol 任何微粒集合体中所含的微粒数。其近似值为 6.02×10²³ mol⁻¹。"
"强电解质和弱电解质的区别是什么？","强电解质在水溶液中完全电离，弱电解质在水溶液中部分电离，存在电离平衡。"
"什么是摩尔质量（M）？","单位物质的量的物质所具有的质量。公式 M = m/n。单位通常为 g/mol。"
"什么是电离平衡常数（Ka / Kb）？","表示弱电解质的电离能力。只受温度影响，Ka/Kb越大，电离程度越大，酸碱性越强。"
"气体摩尔体积（Vm）的概念及标况下的值？","单位物质的量的气体所占的体积。标准状况（0℃、101kPa）下，1 mol 任何气体的体积均约为 22.4 L/mol。"
