"Question","Answer"
"青蒿素的结构特征与药理作用有何关联？","青蒿素是含有过氧键（-O-O-）的倍半萜内酯，该过氧键使其具有较强的氧化性，正是其能高效抗疟的关键结构。"
"金属的活动性顺序与金属元素电离能的大小顺序为何不完全一致？","第一电离能衡量的是气态孤立原子失去电子的难易；而金属活动性顺序是在水溶液中发生的，还包含了金属原子升华、离子水合等过程的能量变化（即受水合能等综合影响）。"
"滴滴涕（DDT）为何被广泛禁用？","虽然是有效的杀虫剂，但由于其结构非常稳定极难在自然界降解，且具有脂溶性，极易通过食物链产生生物富集，严重危害生态和人类健康。"
"什么是电子亲和能？","气态基态原子获得一个电子形成气态阴离子时所释放的能量。它能反映该元素得电子能力的强弱。"
"什么是非糖甜味剂？","不是糖类（不含糖类的基本结构）但具有甜味的化合物质。如糖精钠、阿斯巴甜、甜蜜素等，通常用于低热量代糖食品。"
"元素周期表中有关规律如何图解？","主族元素从左到右：原子半径减小，第一电离能、电负性增加，非金属性增强；从上到下：原子半径增大，第一电离能、电负性减小，金属性增强。"
"常见的环境问题（如酸雨、温室效应、臭氧空洞）分别是由什么主要引发的？","酸雨：SO₂和氮氧化物；温室效应：CO₂和CH₄；臭氧层空洞：氟氯代烷（氟利昂）和氮氧化物；赤潮水华：富含N、P的生活污水。"
"典型有机物中常见的化学键类型？","所有单键均为σ键；双键由1个σ键和1个π键组成（如乙烯、羰基）；三键由1个σ键和2个π键组成（如乙炔、氰基）。"
"什么是绿色化学的基本原则？","核心是“从源头上消除污染”。比如采用无毒无害原料、实现原子经济性（反应物的原子100%转化为目标产物，如加成、加聚等）。"
"什么是等电子原理及应用？","原子总数相同且价电子总数（或电子总数）相同的分子或离子互为等电子体。等电子体通常具有相似的立体构型和化学键类型（如N₂和CO，CH₄和NH₄⁺）。"
"内能与焓有什么联系与区别？","内能是体系中所有微观粒子的动能和势能的总和；焓是一个热力学状态函数（H = U + pV），在恒压条件下，体系的焓变（ΔH）恰好等于反应所吸收或放出的热量。"
"什么是分子光谱？","分子在不同能级间跃迁所产生的光谱。包括红外光谱（查明化学键或官能团种类）和紫外光谱等，是测定分子结构的常用物理方法。"
"氢能的优缺点是什么？","优点：热值高，燃烧产物是水，完全无污染，属于理想绿色能源。缺点：制备成本高，储存、运输（如高压液化或储氢合金）技术要求高且存在安全挑战。"
"如何判断中心原子的轨道杂化类型？","根据中心原子形成的σ键数和孤对电子对数求和：和为4则sp³杂化，和为3则sp²杂化，和为2则sp杂化。"
"热化学循环（如含硫物质循环）实现太阳能转化有何意义？","避免通过直接高温水分解（需要极高温度），而是利用系列化学反应在偏低温度下通过吸收太阳能循环制得H₂，将太阳能转化为氢能储存。"
"分子的空间结构与杂化类型有怎样的关系？","sp³：正四面体（0孤对，如CH₄）/三角锥（1孤对，如NH₃）/V形（2孤对，如H₂O）；sp²：平面三角形/V形；sp：直线形。"
"什么是速率方程和速率常数（k）？","速率方程表示反应速率与各反应物浓度的关系（如 v = k[A]^m[B]^n）。k 为速率常数，只与温度和催化剂有关，与浓度无关。"
"范德华力有哪些特征？","广泛存在于分子之间，比化学键弱得多，没有方向性和饱和性，其大小主要取决于分子的相对分子质量和极性大小（相对分子质量越大往往范德华力越大）。"
"催化剂在化学反应历程中的微观作用是什么？","通过改变反应路径，使反应按照活化能较低的新历程进行，从而显著增加了单位体积活化分子数，极大加快了反应速率。"
"为什么水具有反常的高沸点和冰密度异常？","因为水分子间存在较强的氢键。这种氢键导致水在常温常压下是液态（而非气体），同时也使得冰形成特定晶体网状结构、出现体积膨胀（密度比液态水小）。"
"化学反应的历程与能量有什么关系？","反应通常由多个基元反应（过渡态）组成。整个统包的反应热（ΔH）只与反应物和产物能量差有关，而反应能否迅速发生取决于每一步中最高的活化能势垒。"
"如何判断无机含氧酸（如H₂SO₄、HClO等）的酸性强弱？","一般把酸写成 (HO)mXOn 的形式。非羟基氧原子数 n 越大，中心原子 X 的正电性越高，吸引电子能力越强，羟基中的 O-H 键越容易断裂电离出 H⁺，酸性越强。"
