"Question","Answer"
"物质的量在化学方程式计算中的主要应用依据是什么？","化学方程式中各物质的化学计量数之比，等于各物质参加反应或生成的物质的量之比。可在此基础上转化为质量、气体体积或微粒数的计算。"
"金属矿物开发利用的主要冶炼方法有哪些？","1. 热分解法（极不活泼金属如Hg、Ag）；2. 热还原法（较活泼金属如Fe、Cu，用C、CO或H₂还原）；3. 电解法（极活泼金属如K、Ca、Na、Mg、Al，因很难从其化合物中还原出）。"
"碱金属单质化学性质的相似性和递变规律是什么？","相似性：最外层均为1个电子，都具有强还原性，易失电子。递变性：自上而下，原子半径逐渐增大，失电子能力逐渐增强，金属性逐渐增强，与水或氧气的反应越来越剧烈。"
"海水资源开发利用主要包含哪些途径？","海水淡化、海水晒盐（提取NaCl）、海水提溴（吹出法）、海水提镁（沉淀-煅烧-电解法则）及海水提碘（海带提碘）。"
"卤素单质（F₂、Cl₂、Br₂、I₂）的相似性和递变性？","相似性：最外层7个电子，极易得1个电子，具有强氧化性。递变性：自上而下，原子半径增大，得电子能力减弱，非金属性减弱，单质氧化性依次减弱，其离子还原性依次增强。"
"煤的综合利用主要有哪几种方式？","1. 煤的干馏（隔绝空气加强热获取焦炭、煤焦油和焦炉气）；2. 煤的气化（转化为可燃性气体CO和H₂）；3. 煤的液化（转化为液体燃料如甲醇）。"
"不同价态含硫物质（-2、0、+4、+6）转化的一般规律是什么？","相邻价态只能发生归中反应，不发生交叉反应；高价硫通常作氧化剂（如浓H₂SO₄），低价硫（如H₂S）作还原剂，中间价态（如SO₂）既有氧化性又有还原性。"
"天然气的综合利用主要方向有哪些？","除了作为清洁的化石燃料外，还主要用于制合成氨、甲醇等的化工原料气（合成气）。"
"常见硅酸盐材料有哪些代表物？","陶瓷（黏土）、玻璃（纯碱、石灰石、石英，主要成分硅酸钠、硅酸钙和二氧化硅）、水泥（石灰石、黏土，加适量石膏）。"
"石油综合利用的方法（分馏、裂化、裂解）分别是什么本质？","分馏是物理变化（根据沸点差异分离）；裂化是为了提高轻质油（汽油）的产量和质量；裂解是深度裂化，目的是获取乙烯、丙烯等短链气态烯烃。"
"化肥、农药在农业中的合理施用原则是？","因地制宜，避免长期施用单一化肥导致土壤板结；尽量选用高效、低毒、低残留的农药，控制用量，减小环境污染。"
"沉淀溶解平衡在实际中的主要应用有哪些？","沉淀的生成（利用沉淀剂除去杂质离子），沉淀的溶解（加强酸平衡移动）和沉淀的转化（生成更难溶的沉淀，如锅炉水垢CaSO₄转化为CaCO₃再用酸洗）。"
"合理用药的基本原则是什么？","对症下药，遵医嘱按时按量服用；注意药物的配伍禁忌以及避免抗生素滥用。"
"原电池原理在实际和防腐中的应用有哪些？","1. 制作化学电源（干电池、二次电池、燃料电池）；2. 加快化学反应速率（如粗锌与稀硫酸反应比纯锌快）；3. 牺牲阳极的阴极保护法；4. 判断金属活动性。"
"安全使用食品添加剂的注意事项是什么？","严格按照国家标准的规定种类及最大允许使用量。常见的如防腐剂（苯甲酸钠）、着色剂、抗氧化剂（如抗坏血酸即Vc）。"
"卤代烃的用途及危害有哪些？","用途：很好的有机溶剂、灭火剂以及作为有机合成（制醇、烯烃）的重要中间体。危害：部分氟氯代烷（氟利昂）会破坏臭氧层。"
"钠的物理性质有何特点？","银白色，有金属光泽，质软（可用小刀切割），密度比水小但比煤油大，熔点较低，具有良好的导电性和导热性。"
"铁单质的特性是什么？","银白色，具有铁磁性，能被磁铁吸引。纯铁抗腐蚀能力较强，而生铁或钢易发生电化学腐蚀。"
"钠的主要化学性质（与氧气、水反应）？","与氧气常温生成Na₂O，加热生成淡黄色Na₂O₂。与水剧烈反应（浮、熔、游、响、红）：2Na + 2H₂O = 2NaOH + H₂↑。"
"铁的常见氧化物有哪些及其颜色？","FeO（氧化亚铁，黑色），Fe₂O₃（氧化铁或铁红，红棕色），Fe₃O₄（四氧化三铁或磁性氧化铁，黑色磁性晶体）。"
"氯气（Cl₂）的存在与物理性质？","自然界中主要以化合物（海水中的NaCl）存在。黄绿色、有强烈刺激性气味的有毒气体，密度比空气大，可溶于水（常温1体积水溶2体积Cl₂）。"
"认识铁的氢氧化物（Fe(OH)₂和Fe(OH)₃）？","Fe(OH)₂：白色絮状沉淀，极易被氧气氧化为红褐色（白色→灰绿色→红褐色）。Fe(OH)₃：红褐色沉淀，受热分解生成Fe₂O₃。"
"氯气的主要化学性质？","强氧化性，可与绝大多数金属（生高价态金属氯化物）和非金属反应；与水反应生成HCl和HClO；与碱反应（可用于制漂白粉或吸收尾气）。"
"原子的基本构成是什么？","原子由原子核（质子和中子）和核外电子构成。质子数决定元素种类，质子数与中子数共同决定核素种类（质量数）。"
"氯水的成分与性质是什么？","成分（三分四微粒）：包含H₂O、Cl₂、HClO（分子）和H⁺、Cl⁻、ClO⁻、OH⁻（离子）。具有强酸性、漂白性和氧化性。"
"原子结构与元素性质有何关系？","最外层电子数决定主族元素的最高正价和化学性质。核外电子排布呈现周期性变化导致元素性质呈现周期性变化规律。"
"碱金属元素的原子结构共同点与不同点？","共同点：最外层都有1个电子。不同点：从Li到Cs，电子层数逐渐增多，原子半径逐渐增大。"
"乙烯（C₂H₄）的结构与物理性质？","双键平面结构（所有原子共平面）。无色、稍有气味的气体，密度比空气略小，难溶于水。"
"碱金属单质的化学性质有何共同特征？","都是强还原剂；都能与氧气及水发生剧烈反应。反应剧烈程度随着核电荷数的增加而递增。"
"烯烃的主要化学性质？","典型反应为碳碳双键的加成反应（如使溴水褪色）、加聚反应，以及氧化反应（可使酸性KMnO₄溶液褪色）。"
"卤素单质（X₂）的主要化学性质？","与金属和非金属化合，与氢气反应生成HX；从F₂到I₂氧化性递减，表现为前一卤素单质可将后一卤素离子从其盐溶液中置换出来。"
"乙炔（C₂H₂）的结构与物理性质？","碳碳三键，直线形分子。无色无味的气体，微溶于水，密度比空气略小。"
"甲烷（CH₄）的结构与主要性质？","正四面体空间结构。性质非常稳定，不与强酸、强碱、强氧化剂反应；在光照下能与纯卤素单质发生取代反应，燃烧产生淡蓝色火焰。"
"乙炔的特征化学性质？","三键极易断裂，可发生加成反应（如制聚氯乙烯）、加聚反应；能使酸性KMnO₄或溴水褪色；燃烧时火焰明亮且有浓烟（含碳量高）。"
"乙醇的物理性质、组成与结构特点？","无色、有特殊香味的液体，与水以任意比互溶，易挥发。分子式C₂H₆O，含有官能团羟基（-OH）。"
"苯（C₆H₆）的结构特点与基本性质？","平面正六边形结构，碳碳键是介于单键和双键之间的独特的键。不易氧化（不能使酸性KMnO₄褪色），易取代（溴代、硝化），难加成。"
"常见化学中多样的分子空间结构？","如直线形（CO₂、C₂H₂）、V形（H₂O）、平面三角形（BF₃、C₂H₄）、三角锥形（NH₃）、正四面体形（CH₄、CCl₄）等。"
"苯的同系物的物理性质规律？","一般为无色液体，不溶于水，密度比水小，易溶于有机溶剂，随碳原子数增加沸点升高。"
"利用VSEPR模型判断分子空间结构法则是什么？","通过计算中心原子价层电子对数（= 成键电子对 + 孤电子对），确定排布方式（直线：2，平面三角：3，四面体：4），再根据孤对电子排斥确定最终构型。"
"苯的同系物的化学性质和苯的对比？","侧链烷基对苯环的影响使得苯环上邻对位变活泼更容易取代；苯环对侧链的影响使得直接相连的碳原子能被酸性高锰酸钾氧化为苯甲酸。"
"什么是分子晶体？","由分子间作用力结合而成的晶体，通常熔沸点较低，硬度较小，固态和熔融态均不导电。"
"醇类的物理性质递变规律？","随碳原子数增加，沸点逐渐升高，水溶性逐渐减弱。由于分子间氢键，醇的沸点远高于相对分子质量相近的烃类。"
"什么是共价晶体？","原子间通过共价键结合形成的空间网状结构的晶体，熔沸点很高，硬度很大，如金刚石、硅、碳化硅、二氧化硅。"
"醇类的主要化学性质包括哪些？","1. 弱酸性（与钠反应）；2. 催化氧化（生成醛或酮）；3. 消去反应（浓硫酸/170℃生成烯）；4. 取代反应（与HX反应，或分子间脱水生成醚）；5. 酯化反应。"
"什么是金属键和金属晶体？","金属阳离子和自由电子间的强烈的静电作用称为金属键。形成的晶体即为金属晶体，具有良好导电、导热、延展性。"
"乙醛的结构特点和物理性质？","含有醛基（-CHO）。常温下为无色有刺激性气味的液体，沸点低，易挥发，与水、乙醇互溶。"
"什么是离子晶体？","阴、阳离子通过离子键相互作用形成的晶体。固态不导电，熔融或溶于水后能导电，熔沸点较高。"
"乙醛的特征化学性质？","兼具氧化性和还原性。氧化反应：发生银镜反应、新制Cu(OH)₂悬浊液生成砖红色Cu₂O。还原反应：与H₂加成生成乙醇。"
"什么是过渡晶体？","介于典型离子晶体、分子晶体、共价晶体等类型之间的晶体。事实上，大多数晶体表现为这几种基本类型的过渡。"
"羧酸的结构特点？","官能团是羧基（-COOH），其羰基和羟基存在相互影响使得羟基上的氢更易电离释放出来。"
"什么是混合型晶体？","晶体内部同时存在多种显著不同类型作用力的晶体。例如石墨晶体中，层内为共价键，层间为范德华力。"
